"latitude","longitude","codePostal","nomVille","nomSport","ouvertureCovid"
48.4115538,-4.4944281,29200,"Brest","Voile",""
47.8733089,-3.9171505,29120,"Combrit","Voile",""
48.02047,-4.5365,29770,"Audierne","Voile",""
48.1021725,-4.3527317,29100,"Douarnenez","Kayak de mer#Natation#Planche à voile#Voile","oui"
48.2754908,-4.5905876,29570,"Camaret-sur-Mer","",""
47.8461381,-3.5404875,29300,"Quimperlé","Equitation",""
47.872586,-3.547546,29300,"Quimperlé","VTT",""
47.872586,-3.547546,29300,"Quimperlé","Randonnée pédestre",""
47.845458,-3.6960196,29340,"Riec-sur-Bélon","",""
47.8016253,-3.7202453,29350,"Moëlan-sur-Mer","Kayak de mer#Planche à voile#Voile",""
47.8139254,-3.6304879,29350,"Moëlan-sur-Mer","Cyclotourisme#VTT",""
47.8122466,-3.7055253,29350,"Moëlan-sur-Mer","Pêche",""
